,orig.ident,nCount_RNA,nFeature_RNA,seurat_clusters,donor,batch,location,level,cl.conserv_final,sample_id
c-1,SeuratProject,126799,8074,15,N2,1,lumbar 5,lumbar,PEP.H4.15,N2-RL5-1
N2-RL5-2,SeuratProject,178396,9026,9,N2,1,lumbar 5,lumbar,PEP1.13,N2-RL5-2
N2-RL5-3,SeuratProject,40437,6293,0,N2,1,lumbar 5,lumbar,Propr,N2-RL5-3
N2-RL5-4,SeuratProject,106207,6755,2,N2,1,lumbar 5,lumbar,PEP.H0,N2-RL5-4
N2-RL5-5,SeuratProject,34078,5506,9,N2,1,lumbar 5,lumbar,PEP1.13,N2-RL5-5
N2-RL5-7,SeuratProject,198986,10741,5,N2,1,lumbar 5,lumbar,Ab.LTMR,N2-RL5-7
N2-RL5-8,SeuratProject,67920,6751,0,N2,1,lumbar 5,lumbar,Propr,N2-RL5-8
N2-RL5-10,SeuratProject,231884,8024,0,N2,1,lumbar 5,lumbar,Propr,N2-RL5-10
N2-RL5-11,SeuratProject,421880,11741,4,N2,1,lumbar 5,lumbar,PEP.H8,N2-RL5-11
N2-RL5-12,SeuratProject,705561,13277,18,N2,1,lumbar 5,lumbar,Un.Gi,N2-RL5-12
N2-RL5-13,SeuratProject,533543,12656,14,N2,1,lumbar 5,lumbar,PEP3,N2-RL5-13
N2-RL5-14,SeuratProject,706200,14329,0,N2,1,lumbar 5,lumbar,Propr,N2-RL5-14
N2-RL5-15,SeuratProject,605492,12641,4,N2,1,lumbar 5,lumbar,PEP.H8,N2-RL5-15
N2-RL5-16,SeuratProject,1160489,13445,8,N2,1,lumbar 5,lumbar,PEP.H4,N2-RL5-16
N2-RL5-17,SeuratProject,31164,4801,4,N2,1,lumbar 5,lumbar,PEP.H8,N2-RL5-17
N2-RL5-18,SeuratProject,48528,6716,13,N2,1,lumbar 5,lumbar,Ad.LTMR,N2-RL5-18
N2-RL5-19,SeuratProject,655089,13962,4,N2,1,lumbar 5,lumbar,PEP.H8,N2-RL5-19
N2-RL5-20,SeuratProject,120589,5253,3,N2,1,lumbar 5,lumbar,PEP.H0,N2-RL5-20
N2-RL5-21,SeuratProject,241998,11032,6,N2,1,lumbar 5,lumbar,PEP.H5,N2-RL5-21
N2-RL5-22,SeuratProject,50613,5392,2,N2,1,lumbar 5,lumbar,PEP.H0,N2-RL5-22
N2-RL5-23,SeuratProject,339224,12890,18,N2,1,lumbar 5,lumbar,Un.Gi,N2-RL5-23
N2-RL5-24,SeuratProject,47764,6661,0,N2,1,lumbar 5,lumbar,Propr,N2-RL5-24
N2-RL5-25,SeuratProject,62436,5640,4,N2,1,lumbar 5,lumbar,PEP.H8,N2-RL5-25
N2-RL5-26,SeuratProject,211946,6818,3,N2,1,lumbar 5,lumbar,Ab.LTMR,N2-RL5-26
N2-RL5-28,SeuratProject,144783,9055,0,N2,1,lumbar 5,lumbar,Propr,N2-RL5-28
N2-RL5-29,SeuratProject,304601,10586,2,N2,1,lumbar 5,lumbar,Un.Gi,N2-RL5-29
N2-RL5-30,SeuratProject,442840,8672,7,N2,1,lumbar 5,lumbar,Ab.LTMR,N2-RL5-30
N2-RL5-31,SeuratProject,179877,7170,6,N2,1,lumbar 5,lumbar,PEP.H5,N2-RL5-31
N2-RL5-32,SeuratProject,255685,7914,0,N2,1,lumbar 5,lumbar,Propr,N2-RL5-32
N2-RL5-34,SeuratProject,86816,6451,7,N2,1,lumbar 5,lumbar,Ab.LTMR,N2-RL5-34
N2-RL5-35,SeuratProject,79854,6744,0,N2,1,lumbar 5,lumbar,Propr,N2-RL5-35
N2-RL5-36,SeuratProject,357457,9532,0,N2,1,lumbar 5,lumbar,Propr,N2-RL5-36
N2-RL5-37,SeuratProject,92146,6369,2,N2,1,lumbar 5,lumbar,PEP.H0,N2-RL5-37
N2-RL5-38,SeuratProject,167197,7423,6,N2,1,lumbar 5,lumbar,PEP.H5,N2-RL5-38
N2-RL5-39,SeuratProject,65386,6349,0,N2,1,lumbar 5,lumbar,Propr,N2-RL5-39
N2-RL5-40,SeuratProject,55218,6580,0,N2,1,lumbar 5,lumbar,Propr,N2-RL5-40
N2-RL5-41,SeuratProject,455411,12268,7,N2,1,lumbar 5,lumbar,Ab.LTMR,N2-RL5-41
N2-RL5-42,SeuratProject,60333,5885,7,N2,1,lumbar 5,lumbar,Ab.LTMR,N2-RL5-42
N2-RL5-43,SeuratProject,93100,6905,0,N2,1,lumbar 5,lumbar,Propr,N2-RL5-43
N2-RL5-44,SeuratProject,601593,10578,11,N2,1,lumbar 5,lumbar,Ad.LTMR,N2-RL5-44
N2-RL5-45,SeuratProject,248120,8228,5,N2,1,lumbar 5,lumbar,Ab.LTMR,N2-RL5-45
N2-RL5-47,SeuratProject,911165,13347,0,N2,1,lumbar 5,lumbar,Propr,N2-RL5-47
N2-RL5-48,SeuratProject,212768,10749,15,N2,1,lumbar 5,lumbar,PEP.H4.15,N2-RL5-48
N2-RL5-50,SeuratProject,115148,6189,3,N2,1,lumbar 5,lumbar,PEP.H0,N2-RL5-50
N2-RL5-51,SeuratProject,178121,7355,7,N2,1,lumbar 5,lumbar,Ab.LTMR,N2-RL5-51
N2-RL5-52,SeuratProject,36430,5088,4,N2,1,lumbar 5,lumbar,PEP.H8,N2-RL5-52
N2-RL5-54,SeuratProject,139765,7660,2,N2,1,lumbar 5,lumbar,PEP.H0,N2-RL5-54
N2-RL5-55,SeuratProject,116295,7612,5,N2,1,lumbar 5,lumbar,Ab.LTMR,N2-RL5-55
N2-RL5-56,SeuratProject,148273,8920,10,N2,1,lumbar 5,lumbar,NP1,N2-RL5-56
N2-RL5-57,SeuratProject,172314,7931,2,N2,1,lumbar 5,lumbar,PEP.H0,N2-RL5-57
N2-RL5-58,SeuratProject,68341,5652,2,N2,1,lumbar 5,lumbar,PEP.H0,N2-RL5-58
N2-RL5-60,SeuratProject,48432,5216,9,N2,1,lumbar 5,lumbar,PEP1.13,N2-RL5-60
N2-RL5-61,SeuratProject,66440,6580,9,N2,1,lumbar 5,lumbar,PEP1.13,N2-RL5-61
N2-RL5-62,SeuratProject,205011,8000,0,N2,1,lumbar 5,lumbar,Propr,N2-RL5-62
N2-RL5-63,SeuratProject,80600,5780,4,N2,1,lumbar 5,lumbar,PEP.H8,N2-RL5-63
