"","orig.ident","nCount_RNA","nFeature_RNA","RNA_snn_res.2.5","seurat_clusters","cell_type","cell_type_manual","large_group"
"Neuron1","pbmc3k",602,53,"5","5","hNP1","hNP1","NP"
"Neuron2","pbmc3k",2999,73,"0","0","hNP1","hNP1","NP"
"Neuron3","pbmc3k",3633,64,"16","16","hTRPM8","hTRPM8","TRPM8"
"Neuron4","pbmc3k",6706,77,"0","0","hNP1","hNP1","NP"
"Neuron5","pbmc3k",1733,60,"16","16","hTRPM8","hTRPM8","TRPM8"
"Neuron6","pbmc3k",3075,64,"2","2","hPEP.TRPV1/A1.1","hPEP.TRPV1/A1.1","PEP"
"Neuron7","pbmc3k",6578,75,"9","9","hPEP.CHRNA7","hPEP.CHRNA7","PEP"
"Neuron8","pbmc3k",3788,74,"16","16","hTRPM8","hTRPM8","TRPM8"
"Neuron9","pbmc3k",4837,61,"2","2","hPEP.TRPV1/A1.1","hPEP.TRPV1/A1.1","PEP"
"Neuron10","pbmc3k",7137,76,"0","0","hNP1","hNP1","NP"
"Neuron11","pbmc3k",8320,75,"0","0","hNP1","hNP1","NP"
"Neuron12","pbmc3k",4531,72,"1","1","hPEP.TRPV1/A1.2","hPEP.TRPV1/A1.2","PEP"
"Neuron13","pbmc3k",6014,78,"3","3","hSST","hSST","NP"
"Neuron14","pbmc3k",5170,74,"0","0","hNP1","hNP1","NP"
"Neuron15","pbmc3k",5883,72,"0","0","hNP1","hNP1","NP"
"Neuron16","pbmc3k",4831,74,"0","0","hNP1","hNP1","NP"
"Neuron17","pbmc3k",3722,62,"12","12","hPropr","hPropr","NF"
"Neuron18","pbmc3k",1304,64,"3","3","hSST","hSST","NP"
"Neuron19","pbmc3k",506,53,"3","3","hSST","hSST","NP"
"Neuron20","pbmc3k",11116,78,"4","4","hPEP.PIEZOh","hPEP.PIEZOh","PEP"
"Neuron21","pbmc3k",1488,61,"16","16","hTRPM8","hTRPM8","TRPM8"
"Neuron22","pbmc3k",17527,79,"10","10","hPEP.NTRK3","hPEP.NTRK3","PEP"
"Neuron23","pbmc3k",7188,68,"10","10","hPEP.NTRK3","hPEP.NTRK3","PEP"
