"","orig.ident","nCount_RNA","nFeature_RNA","integrated_snn_res.3.4","seurat_clusters","cl.conserv","cl.HC.LC.split","cl.Ab.split.3","cl.Ab.split.4","diameter","drg_level","drg_location","batch","donor","cl.conserv_final"
"N2-RL5-1","SeuratProject",126799,8074,"15","15","PEP.H4.15","PEP.H4.15","PEP.H4.15","PEP.H4.15",43.35091233,"lumbar","lumbar 5",1,"N2","hPEP.TRPV1/A1.2"
"N2-RL5-2","SeuratProject",178396,9026,"9","9","PEP1.3","PEP1.3","PEP1.3","PEP1.3",46.81073909,"lumbar","lumbar 5",1,"N2","hPEP.TRPV1/A1.1"
"N2-RL5-3","SeuratProject",40437,6293,"0","0","Propr","Propr","Propr","Propr",63.04802873,"lumbar","lumbar 5",1,"N2","hPropr"
"N2-RL5-4","SeuratProject",106207,6755,"2","2","PEP.H0","PEP.H0","PEP.H0","PEP.H0",64.90878003,"lumbar","lumbar 5",1,"N2","hPEP.0"
"N2-RL5-5","SeuratProject",34078,5506,"9","9","PEP1.3","PEP1.3","PEP1.3","PEP1.3",44.02125191,"lumbar","lumbar 5",1,"N2","hPEP.TRPV1/A1.1"
"N2-RL5-7","SeuratProject",198986,10741,"5","5","Ab.LTMR","Ab.LTMR","Ab.LTMR.1","Ab.LTMR.12",75.54243666,"lumbar","lumbar 5",1,"N2","hAb.LTMR"
"N2-RL5-8","SeuratProject",67920,6751,"0","0","Propr","Propr","Propr","Propr",76.72978402,"lumbar","lumbar 5",1,"N2","hPropr"
"N2-RL5-10","SeuratProject",231884,8024,"0","0","Propr","Propr","Propr","Propr",89.43428289,"lumbar","lumbar 5",1,"N2","hPropr"
"N2-RL5-11","SeuratProject",421880,11741,"4","4","PEP.H8","PEP.H8.HC","PEP.H8","PEP.H8",77.00309514,"lumbar","lumbar 5",1,"N2","hPEP.NTRK3"
"N2-RL5-12","SeuratProject",705561,13277,"18","18","Un.Gi","Un.Gi","Un.Gi","Un.Gi",62.48001689,"lumbar","lumbar 5",1,"N2","hATF3"
"N2-RL5-13","SeuratProject",533543,12656,"14","14","PEP3","PEP3","PEP3","PEP3",58.88150252,"lumbar","lumbar 5",1,"N2","hPEP.KIT"
"N2-RL5-14","SeuratProject",706200,14329,"0","0","Propr","Propr","Propr","Propr",96.53414104,"lumbar","lumbar 5",1,"N2","hPropr"
"N2-RL5-15","SeuratProject",605492,12641,"4","4","PEP.H8","PEP.H8.HC","PEP.H8","PEP.H8",59.61217686,"lumbar","lumbar 5",1,"N2","hPEP.NTRK3"
"N2-RL5-16","SeuratProject",1160489,13445,"8","8","PEP.H4","PEP.H4","PEP.H4","PEP.H4",59.62285526,"lumbar","lumbar 5",1,"N2","hPEP.PIEZOh"
"N2-RL5-17","SeuratProject",31164,4801,"4","4","PEP.H8","PEP.H8.LC","PEP.H8","PEP.H8",58.07591249,"lumbar","lumbar 5",1,"N2","hPEP.NTRK3"
"N2-RL5-18","SeuratProject",48528,6716,"13","13","Ad.LTMR","Ad.LTMR.HC","Ad.LTMR","Ad.LTMR",66.01741464,"lumbar","lumbar 5",1,"N2","hAd.LTMR"
"N2-RL5-19","SeuratProject",655089,13962,"4","4","PEP.H8","PEP.H8.HC","PEP.H8","PEP.H8",80.61398605,"lumbar","lumbar 5",1,"N2","hPEP.NTRK3"
"N2-RL5-20","SeuratProject",120589,5253,"3","3","PEP.H0","PEP.H0","Ab.LTMR.s22","Ab.LTMR.s22",72.98790548,"lumbar","lumbar 5",1,"N2","hPEP.0"
"N2-RL5-21","SeuratProject",241998,11032,"6","6","PEP.H5","PEP.H5","PEP.H5","PEP.H5",63.82079107,"lumbar","lumbar 5",1,"N2","hPEP.CHRNA7"
"N2-RL5-22","SeuratProject",50613,5392,"2","2","PEP.H0","PEP.H0","PEP.H0","PEP.H0",47.83316319,"lumbar","lumbar 5",1,"N2","hPEP.0"
"N2-RL5-23","SeuratProject",339224,12890,"18","18","Un.Gi","Un.Gi","Un.Gi","Un.Gi",68.44156898,"lumbar","lumbar 5",1,"N2","hATF3"
"N2-RL5-24","SeuratProject",47764,6661,"0","0","Propr","Propr","Propr","Propr",60.22839467,"lumbar","lumbar 5",1,"N2","hPropr"
"N2-RL5-25","SeuratProject",62436,5640,"4","4","PEP.H8","PEP.H8.LC","PEP.H8","PEP.H8",41.56664638,"lumbar","lumbar 5",1,"N2","hPEP.NTRK3"
"N2-RL5-26","SeuratProject",211946,6818,"3","3","Ab.LTMR","Ab.LTMR","Ab.LTMR.2","Ab.LTMR.7",96.25676249,"lumbar","lumbar 5",1,"N2","hAb.LTMR"
"N2-RL5-28","SeuratProject",144783,9055,"0","0","Propr","Propr","Propr","Propr",66.62216695,"lumbar","lumbar 5",1,"N2","hPropr"
"N2-RL5-29","SeuratProject",304601,10586,"2","2","Un.Gi","Un.Gi","Un.Gi","Un.Gi",63.2395879,"lumbar","lumbar 5",1,"N2","hATF3"
"N2-RL5-30","SeuratProject",442840,8672,"7","7","Ab.LTMR","Ab.LTMR","Ab.LTMR.2","Ab.LTMR.7",76.71318841,"lumbar","lumbar 5",1,"N2","hAb.LTMR"
"N2-RL5-31","SeuratProject",179877,7170,"6","6","PEP.H5","PEP.H5","PEP.H5","PEP.H5",53.0098078,"lumbar","lumbar 5",1,"N2","hPEP.CHRNA7"
"N2-RL5-32","SeuratProject",255685,7914,"0","0","Propr","Propr","Propr","Propr",75.95425252,"lumbar","lumbar 5",1,"N2","hPropr"
"N2-RL5-34","SeuratProject",86816,6451,"7","7","Ab.LTMR","Ab.LTMR","Ab.LTMR.2","Ab.LTMR.14",68.38573629,"lumbar","lumbar 5",1,"N2","hAb.LTMR"
"N2-RL5-35","SeuratProject",79854,6744,"0","0","Propr","Propr","Propr","Propr",62.04033534,"lumbar","lumbar 5",1,"N2","hPropr"
"N2-RL5-36","SeuratProject",357457,9532,"0","0","Propr","Propr","Propr","Propr",63.13883973,"lumbar","lumbar 5",1,"N2","hPropr"
"N2-RL5-37","SeuratProject",92146,6369,"2","2","PEP.H0","PEP.H0","PEP.H0","PEP.H0",51.99122618,"lumbar","lumbar 5",1,"N2","hPEP.0"
"N2-RL5-38","SeuratProject",167197,7423,"6","6","PEP.H5","PEP.H5","PEP.H5","PEP.H5",48.11184399,"lumbar","lumbar 5",1,"N2","hPEP.CHRNA7"
"N2-RL5-39","SeuratProject",65386,6349,"0","0","Propr","Propr","Propr","Propr",59.61217686,"lumbar","lumbar 5",1,"N2","hPropr"
"N2-RL5-40","SeuratProject",55218,6580,"0","0","Propr","Propr","Propr","Propr",75.3568077,"lumbar","lumbar 5",1,"N2","hPropr"
"N2-RL5-41","SeuratProject",455411,12268,"7","7","Ab.LTMR","Ab.LTMR","Ab.LTMR.2","Ab.LTMR.12",89.44140091,"lumbar","lumbar 5",1,"N2","hAb.LTMR"
"N2-RL5-42","SeuratProject",60333,5885,"7","7","Ab.LTMR","Ab.LTMR","Ab.LTMR.2","Ab.LTMR.7",87.44756621,"lumbar","lumbar 5",1,"N2","hAb.LTMR"
"N2-RL5-43","SeuratProject",93100,6905,"0","0","Ab.LTMR","Ab.LTMR","Ab.LTMR.2","Ab.LTMR.14",78.30658818,"lumbar","lumbar 5",1,"N2","hPropr"
"N2-RL5-44","SeuratProject",601593,10578,"11","11","Ad.LTMR","Ad.LTMR.LC","Ad.LTMR","Ad.LTMR",64.8204487,"lumbar","lumbar 5",1,"N2","hAd.LTMR"
"N2-RL5-45","SeuratProject",248120,8228,"5","5","Ab.LTMR","Ab.LTMR","Ab.LTMR.1","Ab.LTMR.12",73.8463612,"lumbar","lumbar 5",1,"N2","hAb.LTMR"
"N2-RL5-47","SeuratProject",911165,13347,"0","0","Propr","Propr","Propr","Propr",49.53314693,"lumbar","lumbar 5",1,"N2","hPropr"
"N2-RL5-48","SeuratProject",212768,10749,"15","15","PEP.H4.15","PEP.H4.15","PEP.H4.15","PEP.H4.15",83.30159445,"lumbar","lumbar 5",1,"N2","hPEP.TRPV1/A1.2"
"N2-RL5-50","SeuratProject",115148,6189,"3","3","PEP.H0","PEP.H0","PEP.H0","PEP.H0",61.56650217,"lumbar","lumbar 5",1,"N2","hPEP.0"
"N2-RL5-51","SeuratProject",178121,7355,"7","7","Ab.LTMR","Ab.LTMR","Ab.LTMR.2","Ab.LTMR.7",61.08899385,"lumbar","lumbar 5",1,"N2","hAb.LTMR"
"N2-RL5-52","SeuratProject",36430,5088,"4","4","PEP.H0","PEP.H0","PEP.H0","PEP.H0",73.85498157,"lumbar","lumbar 5",1,"N2","hPEP.NTRK3"
"N2-RL5-54","SeuratProject",139765,7660,"2","2","PEP.H0","PEP.H0","PEP.H0","PEP.H0",50.70178187,"lumbar","lumbar 5",1,"N2","hPEP.0"
"N2-RL5-55","SeuratProject",116295,7612,"5","5","Ab.LTMR","Ab.LTMR","Ab.LTMR.1","Ab.LTMR.14",74.83119412,"lumbar","lumbar 5",1,"N2","hAb.LTMR"
"N2-RL5-56","SeuratProject",148273,8920,"10","10","NP1","NP1","NP1","NP1",41.53600381,"lumbar","lumbar 5",1,"N2","hNP1"
"N2-RL5-57","SeuratProject",172314,7931,"2","2","PEP.H0","PEP.H0","PEP.H0","PEP.H0",50.53828816,"lumbar","lumbar 5",1,"N2","hPEP.0"
"N2-RL5-58","SeuratProject",68341,5652,"2","2","PEP.H0","PEP.H0","PEP.H0","PEP.H0",57.6909718,"lumbar","lumbar 5",1,"N2","hPEP.0"
"N2-RL5-60","SeuratProject",48432,5216,"9","9","PEP1.3","PEP1.3","PEP1.3","PEP1.3",44.05016571,"lumbar","lumbar 5",1,"N2","hPEP.TRPV1/A1.1"
"N2-RL5-61","SeuratProject",66440,6580,"9","9","PEP1.3","PEP1.3","PEP1.3","PEP1.3",44.76694179,"lumbar","lumbar 5",1,"N2","hPEP.TRPV1/A1.1"
"N2-RL5-62","SeuratProject",205011,8000,"0","0","Propr","Propr","Propr","Propr",82.61091984,"lumbar","lumbar 5",1,"N2","hPropr"
"N2-RL5-63","SeuratProject",80600,5780,"4","4","PEP.H8","PEP.H8.LC","PEP.H8","PEP.H8",50.87726446,"lumbar","lumbar 5",1,"N2","hPEP.NTRK3"
"N2-RL5-64","SeuratProject",183347,7387,"2","2","PEP.H0","PEP.H0","PEP.H0","PEP.H0",48.12507425,"lumbar","lumbar 5",1,"N2","hPEP.0"
"N2-RL5-65","SeuratProject",49753,5349,"3","3","PEP.H0","PEP.H0","PEP.H0","PEP.H0",68.8773593,"lumbar","lumbar 5",1,"N2","hPEP.0"
"N2-RL5-66","SeuratProject",43507,5735,"4","4","PEP.H8","PEP.H8.LC","PEP.H8","PEP.H8",58.72994113,"lumbar","lumbar 5",1,"N2","hPEP.NTRK3"
"N2-RL5-67","SeuratProject",114032,7812,"0","0","Un.Gi","Un.Gi","Un.Gi","Un.Gi",66.54567764,"lumbar","lumbar 5",1,"N2","hATF3"
"N2-RL5-68","SeuratProject",114459,7217,"0","0","Un.Gi","Un.Gi","Un.Gi","Un.Gi",54.04453317,"lumbar","lumbar 5",1,"N2","hATF3"
"N2-RL5-69","SeuratProject",151278,7801,"2","2","PEP.H4","PEP.H4","PEP.H4","PEP.H4",52.41804064,"lumbar","lumbar 5",1,"N2","hPEP.0"
"N2-RL5-70","SeuratProject",493260,11387,"15","15","PEP.H4.15","PEP.H4.15","PEP.H4.15","PEP.H4.15",43.14482873,"lumbar","lumbar 5",1,"N2","hPEP.TRPV1/A1.2"
"N2-RL5-71","SeuratProject",91940,6603,"7","7","Ab.LTMR","Ab.LTMR","Ab.LTMR.2","Ab.LTMR.14",92.65772713,"lumbar","lumbar 5",1,"N2","hAb.LTMR"
"N2-RL5-73","SeuratProject",152849,7919,"2","2","PEP.H0","PEP.H0","PEP.H0","PEP.H0",52.1867745,"lumbar","lumbar 5",1,"N2","hPEP.0"
"N2-RL5-74","SeuratProject",69106,6012,"2","2","PEP.H0","PEP.H0","PEP.H0","PEP.H0",58.76245148,"lumbar","lumbar 5",1,"N2","hPEP.0"
"N2-RL5-75","SeuratProject",110172,7653,"2","2","PEP.H0","PEP.H0","PEP.H0","PEP.H0",67.78732621,"lumbar","lumbar 5",1,"N2","hPEP.0"
"N2-RL5-76","SeuratProject",162265,7255,"0","0","Ab.LTMR","Ab.LTMR","Ab.LTMR.2","Ab.LTMR.14",64.702486,"lumbar","lumbar 5",1,"N2","hPropr"
"N2-RL5-77","SeuratProject",100434,6423,"4","4","PEP.H8","PEP.H8.LC","PEP.H8","PEP.H8",47.6998858,"lumbar","lumbar 5",1,"N2","hPEP.NTRK3"
"N2-RL5-78","SeuratProject",236591,10358,"8","8","PEP.H4","PEP.H4","PEP.H4","PEP.H4",65.52376529,"lumbar","lumbar 5",1,"N2","hPEP.PIEZOh"
"N2-RL5-79","SeuratProject",580356,11986,"12","12","NP3","NP3","NP3","NP3",57.67993574,"lumbar","lumbar 5",1,"N2","hPEP.SST"
"N2-RL5-80","SeuratProject",214823,9127,"0","0","Propr","Propr","Propr","Propr",87.15587905,"lumbar","lumbar 5",1,"N2","hPropr"
"N2-RL5-81","SeuratProject",502863,11945,"0","0","Propr","Propr","Propr","Propr",69.95950896,"lumbar","lumbar 5",1,"N2","hPropr"
"N2-RL5-82","SeuratProject",159116,6417,"0","0","Propr","Propr","Propr","Propr",71.58763339,"lumbar","lumbar 5",1,"N2","hPropr"
"N2-RL5-83","SeuratProject",294264,11555,"0","0","Propr","Propr","Propr","Propr",84.46278051,"lumbar","lumbar 5",1,"N2","hPropr"
"N2-RL5-84","SeuratProject",683230,13537,"5","5","Ab.LTMR","Ab.LTMR","Ab.LTMR.1","Ab.LTMR.12",76.80441987,"lumbar","lumbar 5",1,"N2","hAb.LTMR"
"N2-RL5-85","SeuratProject",603529,12291,"6","6","PEP.H5","PEP.H5","PEP.H5","PEP.H5",53.17767461,"lumbar","lumbar 5",1,"N2","hPEP.CHRNA7"
"N2-RL5-86","SeuratProject",138248,6149,"6","6","PEP.H5","PEP.H5","PEP.H5","PEP.H5",55.34812008,"lumbar","lumbar 5",1,"N2","hPEP.CHRNA7"
"N2-RL5-87","SeuratProject",309224,11595,"15","15","PEP.H4.15","PEP.H4.15","PEP.H4.15","PEP.H4.15",47.04136867,"lumbar","lumbar 5",1,"N2","hPEP.TRPV1/A1.2"
"N2-RL5-88","SeuratProject",369745,11479,"8","8","PEP.H4","PEP.H4","PEP.H4","PEP.H4",60.98469295,"lumbar","lumbar 5",1,"N2","hPEP.PIEZOh"
