,XETG00171__0018220_DRG-Region_2_RoiSet_real_size.zip,03312-02030,03691-02313,03861-02758,04053-03203,03875-03303,04086-03508,04009-03612,04209-03888,04072-03937,03787-03804,03476-03904,03171-03376,03083-03738,02794-04064,02372-03608,02069-03389,02649-04619,03899-05133,03287-06528,02871-06825,02501-06701,04091-07375,04467-07581,04811-06586,05551-05763,05732-06024,05384-06009,05428-06195,05545-06312,05435-06436,05387-06341,05261-06435,05176-06486,05291-06586,05398-06717,05259-06748,05328-06915,05867-06622,06101-06935,06367-06977,06268-07281,06038-07530,05922-07859,06007-08090,06285-08162,06732-08093,05824-08260,05826-08526,06030-08996,05903-08752,05821-08979,05670-09131,05652-08901,05562-08836,05447-08951,05295-08556,05150-08664,05098-08884,04469-08706,04537-09014,04700-09357,04326-09297,04347-09590,04519-09572,04521-09983,05194-09788,05192-10096,05154-09960,04886-10571,05128-10698,04921-10941,05229-11024,05377-10810,05562-10770,05557-10996,05435-11169,05081-11282,05656-11290,05923-11038,05996-11314,05757-11754,05513-11890,05487-12165,06046-11658,06272-11715,06674-09686,06493-09703,06689-09979,06838-09817,06958-10037,06832-10244,06556-10045,06595-10332,06495-10453,06401-10570,07004-10427,07019-10704,06778-10881,06903-11165,06643-11201,06604-11014,06856-11848,06708-11992,06266-12220,06422-12282,07220-12369,07773-11613,07798-11921,07753-12435,07574-12640,07768-12839,06975-12542,07017-12805,06894-12766,06782-12721,06717-12871,06624-12712,07247-13447,07181-13584,07262-13477,06970-13898,06986-14497,06756-14740,06911-14944,06571-15303,06660-13878,06469-13760,06531-13288,06294-13421,06179-14062,05957-14341,05983-14636,06261-14867,05802-14644,05745-15190,05853-14930,05707-14833,05387-15197,06145-15273,06243-15363,05932-15377,05974-15607,06126-15926,05802-15999,05629-15488,05709-15632,05620-15825,05469-15782,05601-16101,05825-16307,06274-16215,05793-16667,05347-16449,05360-16667,05335-16856,05131-16808,05103-17111,05525-17181,04853-17415,04923-17603,05084-17955,05010-17883,05310-18022,05109-18187,05188-18501,04983-18291,04862-18157,04803-17889,04653-17933,04835-18418,04999-18562,04956-18726,04774-18882,04730-19128,04438-19042,04529-19300,04669-19346,04967-19548,04611-19555,04765-19644,04987-19874,04838-19946,04741-19852,04648-20073,04551-19998,04436-20334,04328-20623,04228-19919,04017-19518,04004-19636,03830-19066,03866-19599,03702-19726,03580-19441,03971-19873,03904-20048,03816-20334,03551-20533,03632-20924,03304-21000,03047-21097,03394-20280,03444-19942,03264-19868,03152-20294,02996-20436,02890-20193,02824-19984,02702-19624,02603-20050,02982-19297,02830-19077,02865-19243,02754-19118,02666-20426,02671-21084,02379-20806,02153-21080,02340-20393,02007-20272,01852-19989,01691-19937,02064-19702,02396-19318,02181-19303,01835-19472,01256-19873,01247-19142,01653-18968,01334-18841,00619-18694,00644-18298,00611-17937,00501-16730,00691-16793,00726-16038,00702-15689,00788-15282,00708-15051,01124-15105,00965-14889,00742-14767,00882-14459,00916-14262,01331-12700,01747-13505,01971-13377,02137-13104,01770-12834,01796-12471,02046-12644,01904-12139,02401-12309,02510-11968,02313-11875,02431-11655,02302-11419,02763-11849,03112-11205,02817-10949,02906-10557,03510-10489,03281-11176,03595-09443,03619-09394,04624-11036,04375-10951,04636-11301,05982-12752,05818-13042,05628-12841,05508-12808,05454-12576,05317-12735,05229-12669,05121-12837,05098-12143,04976-12304,05680-13395,05808-13594,05675-13243,05291-13733,05096-13687,05012-14104,04461-14236,04516-14622,04161-14878,03857-14707,04175-15343,03978-15359,03907-15509,04052-15643,03586-15991,03500-16259,03355-16740,03124-16905,03422-17672,03399-17928,03254-18176,03052-18471,03085-17729,02520-18371,02607-18043,02454-18104,02552-17860,02675-17761,01617-18120,01670-17673,01502-17107,01701-17112,01776-17042,01627-16805,02064-16921,02463-17046,02457-16757,01994-16470,02114-16171,02588-16501,02469-16179,02568-16032,02391-15749,02602-15578,02901-15385,02738-15540,02938-15178,03196-15292,03218-15483,03114-15715,02994-16091,02957-15968,01539-15945,01689-15849,01649-15666,01724-15507,01575-15383,01700-14584,01832-14423,01790-14199,02524-15093,02768-14336,02448-14133,02647-13233,02723-13338,02836-13367,02792-13224,02867-13170,02500-12843,02946-12486,02877-12673,03130-13186,03215-13428,03065-13547,03102-12965,03374-12662,03447-12228,03626-12334,03776-11977,03725-11433,03541-11599,03495-11772,04280-11450,04363-11909,04109-13031,03969-13063,04366-13211,04332-13646,03767-13774,03741-13491,03560-13821,03528-14897,03386-14794,04743-13240,04896-13203,04978-13273,05158-04551,03759-06030,05914-10171,03110-09924,04730-12578,05125-14630,04851-16046,00880-17445,02072-18559,04196-17198
UCHL1,559,520,689,2020,473,679,299,49,388,593,774,396,1348,532,209,644,67,916,647,655,152,1569,708,843,50,430,1469,313,425,257,137,64,700,267,39,742,59,102,658,1036,55,761,897,683,116,450,51,421,498,460,522,600,117,131,311,771,296,90,205,242,456,326,118,525,55,784,319,192,102,436,590,218,229,613,247,355,450,837,355,673,1445,1098,67,99,609,830,329,114,425,225,373,554,276,373,285,206,238,428,243,542,46,100,42,1101,65,93,120,20,130,316,95,127,376,33,234,663,67,56,979,314,67,1271,934,1207,238,909,247,834,54,336,546,92,248,612,193,63,97,174,463,78,72,80,554,1191,682,38,252,251,97,441,751,49,402,327,288,133,483,232,397,303,265,432,112,188,552,135,304,282,292,922,176,228,329,135,509,1061,167,136,449,532,372,1250,138,207,599,372,354,26,625,163,112,205,103,1083,235,152,283,771,339,104,233,230,227,702,334,152,1154,403,100,1106,920,32,108,375,38,1315,423,1082,526,835,1418,242,122,842,346,779,1077,147,798,20,590,655,102,817,655,82,893,604,468,500,120,238,394,211,163,62,314,971,524,600,711,144,551,883,447,227,394,374,607,490,1455,607,386,39,54,47,246,120,36,199,186,219,335,282,655,70,52,21,43,170,119,70,395,34,294,731,830,840,931,663,110,32,289,35,479,1389,254,55,665,342,733,620,224,286,300,230,117,977,265,118,434,19,436,839,284,77,185,55,721,545,255,940,228,805,84,693,114,52,115,939,57,144,34,267,71,457,285,157,334,222,899,238,178,424,140,49,41,517,101,13,1543,124,587,143,1154,436,465,279,171,206,52,48,260,582,749,57,29,245,175,216,76,118,164,173,192,107,63,356,72,167,204,246,88,247,435
REEP5,425,78,996,1632,563,446,100,22,94,561,207,132,1166,299,48,491,39,597,701,223,51,1383,540,899,10,278,1779,93,219,148,38,40,305,97,16,348,20,49,244,735,35,723,342,232,167,180,27,127,223,205,486,266,62,71,107,266,158,39,62,189,355,196,48,176,35,311,114,131,26,117,224,146,99,195,161,168,391,393,283,529,1017,1092,39,23,214,607,181,68,255,58,300,466,119,355,255,80,119,291,154,382,16,44,8,1100,41,17,63,3,97,194,32,36,136,21,107,242,29,16,744,378,53,1132,830,1002,160,667,211,739,42,113,224,40,152,390,91,21,41,48,305,34,27,24,222,775,246,11,73,107,43,196,593,32,191,97,100,40,362,135,344,183,81,125,35,106,184,65,232,159,205,357,67,141,105,39,185,489,50,32,157,142,178,795,77,121,195,276,235,6,602,83,52,126,56,756,85,75,95,573,251,40,160,176,122,233,188,60,760,263,49,649,766,8,20,262,7,1031,160,1101,432,730,1360,122,82,895,315,349,1109,19,459,3,342,464,79,505,268,24,795,270,197,221,85,116,48,152,81,32,297,945,181,467,316,48,259,365,157,50,153,137,238,203,1511,537,124,18,41,19,124,33,19,97,95,76,163,183,234,25,12,7,10,94,33,21,239,10,92,270,259,508,410,331,52,13,206,17,332,901,104,20,357,139,269,249,106,162,176,148,69,981,171,71,327,10,164,666,66,62,63,25,208,197,84,718,181,588,43,559,38,21,88,704,29,77,17,106,13,365,174,97,233,108,308,85,103,197,51,16,28,155,25,5,1378,47,206,97,985,157,341,196,113,157,23,28,84,173,260,47,12,85,104,51,48,59,155,180,217,60,141,259,83,104,140,193,105,199,350
NEFL,323,721,358,1353,221,488,296,37,333,503,1247,395,969,651,197,573,62,582,469,705,202,1149,426,543,45,317,841,330,348,188,90,46,563,218,25,667,52,82,486,604,28,371,930,515,45,459,48,475,309,444,369,372,68,104,326,804,327,90,160,298,325,212,174,464,37,719,301,174,69,392,455,245,239,447,264,398,423,683,424,404,639,646,55,108,546,494,359,113,178,273,353,540,294,351,392,150,219,171,90,199,24,102,30,381,62,126,123,19,49,238,67,124,310,11,236,554,56,49,409,140,22,723,244,447,132,494,195,671,17,307,479,101,324,438,226,76,82,151,437,73,74,85,656,522,608,34,233,257,78,512,528,42,482,380,332,137,570,210,201,407,256,413,101,95,522,173,529,347,378,1008,190,190,329,109,537,947,164,129,445,487,388,770,181,243,564,547,541,19,384,168,100,143,122,631,244,149,243,532,387,123,329,248,279,558,334,177,757,439,62,786,606,34,99,603,33,748,362,593,301,476,1019,271,129,606,423,754,731,192,608,2,586,625,129,687,620,165,695,554,549,543,148,277,750,242,154,64,363,720,465,448,686,146,482,633,402,240,476,333,453,585,906,422,405,44,46,45,237,97,35,194,180,202,398,222,609,55,35,22,35,199,72,81,261,13,260,731,733,597,784,557,101,25,223,4,390,720,252,58,435,385,588,657,238,329,380,338,140,735,214,138,471,5,425,380,320,73,191,50,634,472,254,640,109,458,79,374,107,64,84,777,48,123,36,279,51,547,241,201,380,179,822,219,114,336,137,35,20,438,90,17,897,128,518,160,636,383,302,183,173,195,34,43,204,477,591,38,29,216,166,205,69,107,154,139,95,143,59,264,75,145,168,211,84,186,395
KCNV1,233,4,57,84,2,174,11,4,6,255,4,15,42,1,0,650,6,130,0,24,0,46,539,8,4,329,100,5,305,195,6,26,18,4,4,15,2,69,23,55,15,910,22,14,0,15,5,17,17,4,6,16,5,0,8,14,0,1,6,1,435,32,2,2,1,33,4,2,3,13,7,0,6,16,0,8,14,13,2,378,38,750,33,1,17,108,10,2,53,0,55,37,5,100,0,2,16,35,135,474,20,36,0,158,15,8,57,0,1,92,28,8,4,3,77,13,40,1,57,19,2,16,47,319,26,200,58,173,26,10,11,11,0,193,1,1,0,5,2,0,0,0,12,44,13,0,4,0,1,13,136,8,1,3,5,1,2,5,178,1,1,7,1,11,5,1,0,0,1,45,5,30,0,0,13,14,4,2,3,5,1,301,0,0,12,1,0,0,31,0,0,116,0,29,0,1,7,10,15,1,1,5,2,10,2,3,401,5,0,12,913,0,0,3,0,28,6,97,344,56,309,8,1,824,0,29,28,0,641,0,109,545,1,237,13,0,765,11,101,8,85,15,2,10,1,36,2,1132,11,536,19,0,9,24,4,3,11,15,18,16,1496,646,5,12,19,17,12,0,2,112,94,1,0,2,14,0,0,1,0,25,2,1,173,0,2,15,10,16,25,23,0,0,14,7,42,852,6,0,21,0,24,14,0,0,0,0,0,4,39,0,1,0,14,68,6,12,1,1,25,9,13,909,21,91,10,77,0,0,5,574,25,13,2,2,2,106,74,0,1,2,11,10,91,153,4,23,19,9,1,0,1239,1,13,0,41,9,452,233,1,78,1,0,4,10,19,0,0,5,9,5,0,14,0,0,0,5,7,13,4,18,7,9,4,7,38
SYP,230,72,530,799,412,215,85,9,58,182,183,128,639,155,45,305,19,238,471,179,22,778,301,554,11,168,1169,74,126,110,33,21,206,64,8,276,9,33,203,381,14,437,249,166,125,156,14,149,191,138,301,195,38,31,72,197,98,10,47,73,249,83,35,99,10,223,102,111,15,128,176,94,70,161,86,108,200,243,135,261,641,609,24,22,167,271,97,17,176,44,102,172,43,124,122,37,66,157,73,225,9,20,7,745,21,11,32,2,60,83,24,21,78,10,44,187,14,15,432,218,38,679,466,645,51,492,82,249,22,78,134,28,96,197,47,19,23,27,219,14,14,17,180,457,196,1,48,50,21,101,220,11,87,71,83,41,165,59,157,96,55,94,24,50,143,25,147,84,99,223,52,40,60,28,135,304,26,36,100,109,82,228,35,50,131,181,105,4,302,88,20,68,29,381,44,26,74,308,159,21,77,65,50,142,135,38,275,94,14,451,429,8,16,146,7,550,94,642,242,353,922,68,29,517,154,215,775,14,311,0,235,248,35,220,165,11,498,154,107,148,46,169,53,55,50,19,133,554,117,282,207,44,135,324,86,37,129,77,178,120,1106,302,91,9,17,13,102,22,8,49,62,52,84,103,200,15,8,4,11,42,27,10,107,5,73,205,171,272,310,224,13,7,98,8,129,501,56,15,241,63,188,180,56,70,111,85,21,744,92,25,127,0,98,430,52,25,54,14,149,151,75,398,134,468,32,470,26,6,45,276,10,32,12,59,9,218,76,61,101,49,232,60,80,154,46,12,14,174,19,4,983,34,144,57,710,89,197,126,48,43,11,18,57,142,238,19,3,44,20,38,16,20,67,70,135,13,10,32,8,22,40,42,8,24,55
NEFH,210,574,184,841,157,264,87,22,85,253,672,49,684,466,38,373,31,396,257,168,197,748,272,424,41,222,668,130,249,121,45,35,316,134,22,306,26,55,239,440,13,331,332,299,28,64,32,59,190,203,230,226,55,86,164,302,246,41,102,209,220,190,59,266,29,369,204,122,33,68,242,256,65,293,235,153,351,346,378,267,530,490,36,11,305,368,203,46,113,57,231,429,62,188,387,82,181,187,68,150,18,62,5,315,44,185,90,7,54,200,44,43,191,9,158,278,45,27,325,121,23,575,333,364,96,389,146,414,16,151,222,70,252,379,33,20,49,88,389,49,45,55,213,504,338,14,127,190,47,145,400,28,340,66,54,21,558,143,93,342,144,203,48,60,323,93,404,277,282,282,61,137,104,14,245,575,84,68,220,280,107,649,129,178,305,369,406,11,297,136,66,86,95,473,140,98,174,389,250,86,226,253,190,367,282,40,573,348,48,514,424,11,51,511,14,646,198,482,219,429,776,142,100,406,485,397,544,189,427,3,311,427,128,522,335,121,486,327,432,252,79,132,609,130,78,50,338,502,231,270,319,70,291,316,205,45,137,193,291,100,540,228,137,25,27,36,160,40,20,105,128,75,245,176,302,34,13,12,21,142,20,35,170,13,153,283,375,398,361,317,76,15,172,4,269,437,187,24,357,92,343,82,139,230,257,260,92,569,139,110,405,3,201,290,55,52,94,22,286,284,163,422,61,344,52,284,68,39,58,524,29,103,22,104,23,379,190,136,326,136,422,135,58,241,101,23,14,224,47,11,634,70,296,109,510,215,195,102,140,106,11,24,132,305,392,31,18,83,85,80,36,81,100,76,70,121,33,155,34,170,165,158,53,145,347
SLC17A7,197,4,387,473,274,119,0,8,0,3,41,0,478,47,0,256,0,167,284,1,0,477,170,335,1,116,723,0,71,60,0,9,4,1,5,0,0,19,0,104,6,315,1,1,119,0,2,0,2,0,194,64,7,16,0,11,2,0,3,0,135,42,0,0,0,0,0,30,0,0,0,1,0,1,0,1,0,0,2,155,447,300,13,0,1,125,1,1,115,0,5,0,0,2,0,0,0,65,58,145,6,7,0,461,3,4,19,1,60,36,12,0,0,6,15,1,10,0,313,93,9,530,319,439,25,250,1,24,12,0,1,3,1,55,0,0,0,3,36,0,0,0,0,300,0,0,0,0,1,2,1,1,1,1,0,0,6,2,92,0,0,1,0,19,2,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,105,4,0,0,0,0,0,154,10,0,35,1,256,0,0,1,168,0,0,1,0,0,1,0,0,123,4,16,58,316,0,0,0,0,343,0,522,166,140,617,1,5,346,17,0,529,0,256,0,0,195,0,149,1,0,416,0,11,0,30,0,0,0,6,11,1,423,0,210,1,0,0,0,0,0,0,0,1,0,784,204,0,0,2,4,0,0,0,37,35,0,21,15,1,2,0,1,6,0,0,0,63,0,0,0,0,134,1,1,9,0,38,2,47,376,2,0,197,0,1,0,0,1,12,0,0,488,26,0,1,0,0,297,0,1,0,1,10,1,0,385,76,235,13,251,4,3,5,127,4,0,0,0,0,0,20,0,23,22,0,0,44,48,0,6,9,0,0,4,551,0,0,11,686,0,173,100,0,12,0,0,0,0,1,16,0,0,3,1,0,0,59,52,95,5,7,15,5,14,4,8,5,13,21
SCN7A,170,52,170,645,79,331,106,5,112,309,64,76,572,79,33,376,25,369,65,108,69,662,270,104,8,159,691,46,189,87,18,23,152,38,7,145,6,29,97,437,25,566,183,94,14,157,26,108,82,100,67,161,42,33,107,262,73,54,34,97,218,154,55,165,37,93,60,87,54,69,90,83,50,65,84,145,227,193,137,320,531,630,22,24,86,340,73,25,173,68,121,205,156,183,141,50,58,185,94,256,7,26,2,531,22,3,24,1,38,128,27,18,80,11,70,91,11,8,300,135,20,411,343,495,49,298,75,343,19,50,119,25,62,258,84,11,17,82,180,22,13,24,182,374,90,2,66,56,71,134,226,22,111,85,45,32,260,139,153,113,34,40,32,62,91,17,122,78,85,209,41,43,96,45,57,307,20,24,68,54,142,414,31,68,155,112,123,0,350,48,22,49,44,325,73,64,20,242,94,24,65,56,92,82,93,42,361,117,42,428,439,2,14,164,15,457,68,293,220,334,756,39,70,510,151,149,398,13,394,1,198,351,33,329,93,10,515,69,175,59,32,37,51,54,73,20,139,573,58,297,158,34,142,112,136,67,138,62,92,177,1181,276,91,11,16,20,100,32,8,64,69,52,65,111,79,8,26,4,4,65,62,30,113,21,84,99,71,285,143,125,50,24,97,6,209,522,136,2,190,112,107,140,68,112,78,81,42,103,93,19,156,20,76,337,76,16,63,27,155,96,53,542,84,354,27,358,18,18,45,332,12,103,41,49,12,200,79,51,111,40,107,86,70,164,76,21,8,48,16,3,862,72,98,38,447,76,208,123,42,45,50,57,88,97,98,18,2,73,388,32,45,60,18,104,31,12,380,819,214,424,209,660,246,307,1279
RET,165,30,149,870,61,201,122,6,98,63,68,154,589,13,61,65,1,269,64,304,1,587,134,88,11,28,735,122,59,24,57,13,321,123,10,415,12,10,384,296,6,91,404,333,23,184,2,221,266,215,124,220,37,32,167,323,69,18,79,47,56,78,26,173,6,428,190,43,27,182,265,79,81,287,55,163,261,383,123,144,693,427,18,26,344,185,89,24,126,81,16,159,89,65,109,87,75,143,51,82,2,17,10,740,10,1,13,4,56,52,19,47,159,15,17,381,5,20,540,199,24,473,517,587,59,411,16,111,8,166,243,0,48,67,47,20,40,2,95,12,9,25,249,452,303,0,96,51,6,213,69,5,90,152,100,20,108,1,99,88,106,229,28,58,281,3,87,60,114,500,55,17,128,47,298,499,60,52,198,309,145,292,20,61,290,143,91,1,142,45,13,30,19,431,43,18,153,310,13,10,58,53,31,396,111,64,353,138,7,52,187,9,48,90,8,644,223,572,124,405,826,114,23,247,121,422,480,17,90,0,272,69,22,261,290,0,284,318,2,307,5,92,21,28,27,7,144,245,242,107,379,71,275,516,195,96,173,166,328,183,633,71,145,4,6,6,43,21,11,24,18,110,107,21,398,5,10,6,10,12,42,18,29,3,98,375,391,63,440,360,14,4,7,3,76,233,28,30,163,141,451,277,20,53,110,76,24,190,61,27,102,0,203,375,74,9,59,7,295,271,99,167,100,362,18,335,6,3,4,229,9,2,0,91,18,161,57,33,100,12,478,88,52,64,2,4,9,308,34,2,557,47,303,43,423,156,56,57,43,24,3,6,98,261,416,7,2,82,15,80,16,3,19,20,31,20,14,48,6,37,30,57,12,14,67
NTRK2,146,24,54,570,13,131,16,8,49,24,25,5,152,40,6,309,7,70,39,23,19,184,305,45,5,147,996,7,175,88,9,24,37,9,0,15,3,30,14,105,6,425,48,23,8,47,15,13,16,12,65,57,19,4,25,67,7,19,16,12,249,21,14,76,32,16,18,101,19,19,26,2,14,14,30,35,37,70,50,334,175,549,22,5,10,14,12,2,22,7,35,21,71,15,3,31,14,42,114,210,10,35,7,639,7,5,26,0,4,68,8,7,42,4,63,13,15,1,449,213,24,253,130,540,15,324,5,22,18,17,19,3,9,45,34,4,11,28,106,5,6,17,13,78,20,3,33,7,22,20,4,7,13,12,1,6,49,47,170,10,14,10,16,11,32,1,2,16,0,39,3,29,26,21,6,75,8,9,17,2,43,43,1,11,72,50,35,0,3,33,18,66,12,92,11,25,5,68,8,3,15,9,18,28,16,10,48,1,3,16,407,1,9,10,5,121,23,459,218,79,707,11,8,434,9,10,338,7,316,0,3,264,7,73,14,4,468,1,37,18,29,4,9,4,29,11,5,596,19,298,35,10,48,16,29,6,28,28,15,25,1007,318,14,3,1,5,49,31,3,57,63,20,5,51,11,2,3,6,12,27,32,12,116,6,44,15,20,25,35,30,24,18,21,1,20,542,27,0,79,23,10,24,30,36,12,13,6,25,9,0,15,10,24,92,19,2,15,7,42,18,1,353,89,303,23,303,6,6,5,8,2,25,13,3,0,5,9,10,4,10,19,26,71,117,47,15,15,5,3,0,838,32,45,11,145,32,218,117,7,2,21,9,39,23,8,0,1,36,81,13,29,31,3,24,7,25,180,274,68,90,113,200,98,156,272
