,XETG00171__0018220_DRG-Region_3_RoiSet_real_size.zip,13988-03626,06889-05762,07036-05384,06585-05252,06446-04916,06232-05484,06264-05831,06404-06125,06244-06346,05871-04951,06034-04751,05193-04490,05055-04428,04745-04110,05643-05218,05430-05070,05274-05312,05085-05065,05742-05502,05664-05897,05401-06360,05033-05755,04877-05667,04813-06081,04649-05871,04443-05719,04311-05506,04146-05526,03951-05959,04154-06038,04030-06095,03624-05587,03806-05503,03744-06062,03552-05874,03306-05350,03295-05737,03159-05897,02870-05390,03028-05474,03036-05309,02629-05597,02473-05310,02629-05220,02094-05376,02397-06029,02600-06073,02811-05794,03387-06365,02702-06899,01917-06879,01675-06793,02996-07255,02790-07377,02375-07992,03476-07593,03905-07037,04146-06498,04413-06719,04548-06906,03948-07623,04048-07969,04294-08095,04787-07780,04580-08091,04593-08561,05520-07388,05874-07182,05735-06716,06248-06862,06461-06601,06537-06916,06812-06652,07195-06586,07645-06297,07665-06021,08234-07831,07814-07492,07430-07300,06823-07013,07120-07192,08022-08316,05955-07495,06307-07611,06193-07710,06127-08087,06430-08201,05712-07960,06627-08895,06637-09081,06700-09181,06859-09143,06893-09639,07127-09879,07177-10053,07281-10018,07306-10207,07275-10449,06710-10401,06829-10500,07379-10591,07785-10547,02863-10250,03211-10382,03676-09826,03623-10157,04003-10096,02929-10759,03081-10968,03818-10825,04002-11065,03790-11268,04155-11363,04414-11499,04594-10957,04575-10666,04420-10540,04322-10340,04680-09912,04985-10965,05324-10497,03345-12175,03811-12240,03603-12303,03962-12697,04117-12893,04214-12717,04523-12312,04639-12046,05491-11484,05252-11660,05921-11663,06318-11741,05647-12388,06005-12190,06834-11622,07661-11459,07822-11821,07905-12335,08216-11742,08170-11296,08102-11132,08231-11145,08387-11200,08511-11434,08539-11098,08217-12339,08408-12183,08401-12590,08733-12467,08731-12144,08669-11708,08764-10949,08934-10884,08620-10789,09012-11330,09097-11504,09216-11192,09234-10947,09438-10882,09328-10526,09353-11487,09134-11790,09216-11937,09067-12228,08891-11961,09391-11319,09607-11266,09771-11294,09775-11499,09856-11707,09725-11952,09741-12488,09495-12328,09238-12498,10002-12679,10117-12227,10243-11901,10361-11971,10409-12242,10308-12426,10613-12079,10433-11674,10057-11236,10059-11575,10793-11858,10877-12048,10628-12600,10618-12348,10846-12382,10871-12737,11093-12659,11219-12549,11029-12329,11015-12102,11095-12232,11279-12410,11421-12327,11581-12375,11623-12202,11813-12125,12048-12527,12401-12309,12391-11949,12310-12020,12375-11622,12377-11771,12033-11925,11947-11716,12562-11716,12642-12003,12485-12182,13032-12071,12840-11817,12921-11576,13113-11539,13288-11560,13350-11989,13451-11744,13482-11402,13704-11605,13586-11176,13844-11268,14255-11166,14270-10912,14193-11399,14501-11173,14934-11142,14895-11042,14803-11227,14715-11057,14609-10761,14956-10704,14801-10486,15131-10571,15332-10460,15144-10143,14926-09834,15271-09710,15446-09849,15704-09890,15592-10076,15679-09623,15903-09353,15738-09120,15529-09099,15473-09102,15541-08938,11230-07773,11510-07629,11642-07394,11937-07690,12404-07494,10366-08611,09869-08583,09919-09029,10132-09620,09751-09701,10322-10368,10525-10144,10643-10086,10667-10264,10945-10127,11034-09888,10773-10841,10941-10946,11378-11199,11574-11673,11229-11633,11302-11542,11084-11653,11855-11394,11821-11319,11667-10952,11713-10847,11601-10798,11417-10793,11988-10924,11808-10439,11942-10494,11945-10617,12012-10533,12308-10693,12434-10757,12511-11361,12572-11006,13039-10888,13140-10752,13330-10528,13858-10145,13667-09594,13777-09764,12666-10217,12915-10471,12443-09451,12595-09736,13041-09559,14405-10114,11104-08649,12839-08598,05387-09063,07835-09351,03540-08670,12560-05100,07166-08201,14365-08887,05138-07059
REEP5,1146,306,1994,350,486,421,341,817,299,18,265,381,217,70,293,1324,184,1065,483,872,1590,756,503,197,183,668,132,168,215,235,90,77,272,210,46,364,188,110,255,384,156,87,343,56,90,17,245,100,176,245,163,41,26,870,19,46,1130,1154,74,877,175,407,1054,630,1167,540,950,760,649,328,551,793,237,277,365,529,322,1186,487,862,105,38,110,960,342,322,418,32,497,610,75,15,693,446,104,148,16,104,83,78,30,303,577,126,27,116,580,83,67,29,179,266,49,199,120,224,123,102,161,382,1192,67,116,53,219,195,16,173,376,463,452,493,692,541,47,14,80,184,467,433,1169,122,42,41,72,816,138,31,190,209,466,713,75,136,128,252,400,300,27,96,88,1607,614,434,33,469,201,74,105,271,80,369,1081,1047,206,28,33,320,148,235,336,9,672,83,128,37,70,11,205,118,455,79,118,287,81,163,140,21,192,49,92,126,107,81,70,55,56,75,136,43,93,127,121,109,135,114,182,35,176,118,104,81,352,96,97,122,75,89,79,51,73,189,39,114,100,229,106,397,226,217,172,349,23,238,155,205,27,13,21,1171,1262,480,1149,20,490,99,4,1131,585,800,183,207,30,826,37,24,490,180,249,89,69,145,23,5,149,271,47,11,49,232,7,28,24,893,55,11,259,107,50,188,34,274,90,2060,89,603,10,14,275,311,422,513,541,518,882,582,510,485
UCHL1,1075,509,1554,514,732,817,480,747,364,87,752,511,383,86,509,920,184,798,451,723,1314,538,829,293,232,891,216,280,232,197,174,182,529,127,112,375,507,175,576,245,189,146,430,200,135,45,337,175,365,435,568,71,144,482,42,134,764,1033,94,786,499,261,1051,500,1050,485,855,799,452,292,687,694,468,559,1551,614,377,1220,1224,1185,268,66,85,944,455,351,541,86,526,259,346,84,733,627,158,285,65,373,107,628,315,489,1023,353,64,69,348,198,113,61,165,218,61,369,345,236,362,177,229,416,981,106,148,207,384,263,39,266,483,409,209,167,471,502,120,39,429,533,206,273,1549,103,98,91,236,745,46,77,81,118,319,851,139,188,207,360,1026,290,102,255,211,1770,503,753,83,946,181,205,243,477,119,232,930,686,173,94,69,382,271,226,305,43,700,163,221,67,104,43,96,192,742,139,281,340,232,307,236,54,343,138,177,193,291,156,139,101,117,207,235,153,107,128,82,315,86,60,486,75,88,216,148,118,448,114,209,206,61,185,147,102,154,211,99,170,215,155,162,317,443,520,98,500,188,213,256,335,72,45,77,748,1280,473,885,33,580,1082,18,1177,302,423,206,334,97,746,124,73,123,203,467,144,108,136,59,25,258,452,95,52,116,372,23,56,83,348,116,21,329,68,132,193,124,322,113,1305,186,818,33,22,243,207,232,459,344,318,438,352,204,523
PVALB,809,0,146,1,5,2,22,450,0,1,4,2,1,0,8,1125,0,14,6,1127,50,564,1,43,0,0,0,0,0,0,0,1,1,0,0,397,0,27,1,0,1,5,0,0,1,0,1,0,0,1,0,1,2,304,0,4,1340,11,0,662,15,13,7,556,1369,3,1055,14,0,1,32,18,0,1,107,0,5,112,188,4,55,0,86,218,31,22,7,2,350,711,13,2,7,2,0,0,2,12,0,0,0,3,6,0,0,122,749,2,0,0,0,3,0,0,1,221,0,0,1,180,16,0,1,0,9,11,0,2,2,405,4,662,4,0,0,0,0,85,12,3,291,0,0,0,1,2,0,0,3,0,0,43,0,1,0,0,0,0,1,28,1,861,0,0,0,1,0,10,0,4,0,92,11,410,0,0,1,1,1,0,2,0,1,38,0,4,0,1,2,5,1,0,0,141,0,0,1,0,1,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,2,16,46,2,0,0,0,539,803,121,75,3,153,0,0,162,561,36,0,0,0,0,0,0,0,0,2,19,56,0,0,0,0,2,0,1,1,0,0,0,0,96,5,0,0,0,0,1,3,1,40,1829,0,1,0,13,20,29,33,50,70,32,36,60,45,76
SYP,633,166,1141,169,261,215,251,303,120,12,221,207,104,40,94,741,96,815,329,778,955,523,369,130,81,336,87,93,82,131,51,54,241,89,61,273,173,79,166,354,80,41,212,75,36,15,129,75,164,173,153,42,26,587,9,25,1002,596,39,337,107,262,605,442,1074,360,737,496,195,178,379,517,131,124,519,300,151,939,210,442,40,14,89,633,206,224,267,10,174,510,78,17,236,239,47,80,17,90,35,95,57,238,263,171,8,96,549,37,105,31,54,84,9,75,72,143,80,52,85,74,675,45,40,39,68,66,11,110,255,374,198,457,302,275,22,7,121,101,168,109,624,43,40,21,58,272,28,25,100,88,313,451,49,63,66,126,297,148,22,69,46,772,196,381,10,391,116,62,108,112,30,90,619,494,79,12,10,76,78,92,204,9,364,47,76,19,39,6,89,33,174,94,174,77,61,163,55,15,94,24,54,62,71,41,44,20,43,30,70,17,35,116,50,68,65,37,121,10,76,47,52,63,229,35,52,50,33,22,31,31,25,97,39,52,46,108,56,258,114,87,80,157,30,106,38,87,8,5,16,801,724,300,842,13,171,148,2,880,427,509,90,105,17,378,17,7,185,104,115,62,70,75,9,5,100,175,28,14,23,126,9,18,16,622,27,13,137,66,28,105,18,109,24,1553,60,309,3,4,37,28,44,34,35,42,72,53,44,50
NEFL,576,400,575,561,539,682,80,685,482,75,646,645,470,125,408,614,272,259,321,493,402,177,480,299,420,492,304,195,324,259,266,250,357,160,107,278,393,195,492,80,201,76,297,168,136,53,254,318,256,382,459,106,51,138,35,125,309,266,33,796,516,146,561,265,678,203,702,367,68,469,303,535,522,423,990,486,358,197,1522,645,285,36,17,160,114,106,137,70,409,92,402,82,653,467,177,257,55,410,181,772,248,174,744,314,47,27,126,227,122,68,83,172,100,485,286,93,271,217,195,439,596,140,109,186,413,229,33,206,382,278,69,37,179,92,97,20,353,759,28,15,421,147,65,53,163,491,62,64,55,129,10,420,168,250,325,543,919,360,106,205,204,533,244,422,74,748,27,228,315,492,144,225,428,14,327,159,84,434,322,320,185,29,187,157,239,21,179,44,71,230,736,122,196,384,178,251,287,65,433,124,147,290,288,131,88,92,131,179,289,87,184,64,123,304,97,166,546,72,11,230,189,92,347,151,258,245,2,148,160,33,131,195,66,156,269,111,274,171,528,554,215,286,362,159,210,348,71,55,69,181,804,125,127,27,283,1190,15,321,126,18,363,457,93,121,115,63,4,229,576,183,124,253,54,34,339,200,79,51,128,342,6,6,52,125,72,17,208,156,166,265,135,95,158,322,291,534,25,8,158,133,160,153,184,179,192,299,161,378
FABP7,480,421,202,110,370,523,132,362,49,15,198,238,101,9,299,181,15,115,151,219,103,64,78,26,13,220,73,179,43,152,6,35,45,10,30,168,221,133,258,83,37,145,36,63,74,22,120,26,114,122,51,9,99,76,14,9,166,84,25,833,343,40,331,239,213,147,405,78,49,38,70,188,93,130,57,341,330,95,1198,290,99,60,76,53,12,20,67,5,226,7,37,18,149,91,73,118,2,54,0,5,15,140,331,36,34,52,173,111,6,2,68,38,12,101,193,109,101,22,96,421,107,16,162,85,343,275,14,101,136,119,27,135,111,48,34,47,37,172,24,25,69,6,41,59,56,263,15,56,9,15,76,305,43,6,7,94,402,21,31,59,63,206,143,107,48,122,26,79,12,214,67,98,164,24,61,89,4,178,96,49,19,4,34,3,31,9,14,11,14,208,305,4,14,118,107,47,26,10,101,48,50,82,114,65,11,53,16,46,14,141,20,15,18,106,2,8,177,24,16,5,5,22,241,74,203,59,12,170,54,27,36,75,13,87,43,39,14,127,81,5,23,139,128,64,245,181,3,0,1,127,274,211,126,20,111,448,6,137,166,191,10,50,96,54,80,13,101,38,66,21,51,39,2,0,53,97,30,5,11,77,3,5,56,129,116,0,21,6,9,55,36,136,43,495,19,334,16,5,82,65,91,63,68,85,89,106,83,135
SLC17A7,468,0,744,0,79,38,205,174,4,1,3,4,1,0,9,681,0,414,118,486,630,442,104,16,8,209,0,30,0,1,0,0,2,18,0,192,0,1,1,126,1,15,62,0,2,0,26,0,0,0,0,0,0,396,1,5,680,492,13,243,0,202,493,254,707,258,411,392,61,11,287,306,1,29,254,92,94,547,85,268,15,3,50,449,138,128,184,9,113,300,0,0,89,77,7,12,0,0,0,26,4,132,174,0,0,55,328,2,1,10,24,88,4,13,0,103,0,0,27,60,589,0,31,0,8,1,0,0,96,209,159,325,223,135,1,1,2,18,149,74,580,2,0,0,1,209,7,0,72,1,198,219,3,10,7,0,1,1,0,9,0,303,119,40,2,0,48,0,0,50,1,67,331,392,0,1,0,22,3,0,11,0,153,1,0,22,7,0,50,3,42,0,1,9,0,0,6,1,11,1,3,0,0,0,0,2,3,5,0,0,1,0,4,0,14,1,0,0,12,0,1,0,0,3,2,0,26,0,1,36,0,28,0,5,0,41,9,0,4,2,19,41,2,101,0,47,0,0,0,787,429,228,607,7,35,0,1,579,317,428,1,0,0,198,1,3,64,17,0,5,9,1,1,0,4,137,25,0,6,17,2,12,3,306,24,0,77,0,0,0,0,38,14,1056,0,212,1,4,18,21,17,22,8,27,28,23,26,21
EHD3,381,28,419,63,233,221,99,87,74,2,26,78,76,19,35,201,43,320,94,113,284,268,205,57,37,263,11,50,33,150,28,53,12,65,8,48,9,16,22,149,31,20,88,4,21,0,83,49,19,19,17,3,3,159,0,8,282,229,38,98,20,68,288,135,157,90,116,139,101,74,126,131,112,135,136,220,50,316,109,262,24,3,25,221,99,110,95,6,32,125,12,0,184,86,27,57,3,15,15,30,14,135,161,58,4,33,75,28,9,10,62,25,5,88,10,11,11,30,87,53,328,19,52,3,24,17,3,14,64,48,55,89,90,131,19,5,20,19,60,27,300,28,1,7,8,156,74,5,39,48,143,226,17,30,32,66,67,84,1,16,49,203,164,310,20,50,68,17,7,62,11,37,218,211,72,4,5,38,36,52,93,1,246,30,30,8,11,2,36,15,116,8,12,52,9,8,26,8,54,12,15,72,16,30,6,7,9,24,60,25,33,13,14,32,61,25,16,9,61,61,23,10,192,24,27,22,19,9,8,23,19,73,4,38,18,106,29,150,38,46,40,159,11,62,18,46,6,7,5,489,125,157,397,3,54,45,1,464,175,303,34,70,2,237,14,0,98,48,45,21,6,18,5,2,27,104,27,1,10,114,2,2,5,316,10,0,128,19,9,66,13,105,12,784,24,177,0,6,23,29,47,66,65,84,106,62,46,41
NEFH,340,187,445,432,430,678,97,424,397,35,163,488,396,89,272,494,302,244,168,332,305,138,519,246,285,464,280,153,289,215,170,166,253,151,67,173,201,72,192,31,227,65,294,72,92,38,110,252,166,189,283,43,37,65,23,55,229,226,21,485,121,71,362,207,547,170,453,277,61,436,217,297,393,398,458,300,214,138,1053,509,240,25,17,116,96,67,119,61,300,41,96,22,466,574,116,197,19,94,115,613,232,145,520,139,16,29,101,163,50,20,102,91,40,363,51,67,23,173,116,285,354,131,61,72,249,167,20,130,204,146,34,23,91,82,60,9,272,601,12,22,363,138,52,20,85,377,121,33,50,156,5,361,115,190,238,447,385,407,20,101,115,175,205,258,46,515,35,54,54,363,109,133,382,21,326,104,18,307,214,249,282,12,198,130,175,13,138,20,34,110,598,89,171,318,59,173,222,42,328,104,99,211,60,119,109,74,92,141,282,46,148,79,146,183,108,152,240,38,13,204,149,61,186,141,176,134,0,80,74,29,68,140,59,116,70,109,188,119,340,417,220,210,451,90,122,277,30,23,39,136,519,94,113,20,145,377,9,302,87,17,259,290,41,149,91,33,8,155,493,130,52,250,38,18,244,164,58,7,51,395,6,13,46,85,54,15,188,116,76,277,54,172,129,249,193,329,25,4,118,117,98,132,135,136,103,209,112,277
RET,316,159,1196,149,78,21,178,223,116,2,283,103,50,30,75,193,86,566,91,249,1032,380,35,103,83,42,103,16,88,1,42,5,321,93,16,76,154,109,198,94,66,27,8,80,26,2,17,42,228,229,270,15,5,304,6,22,279,477,4,63,155,49,530,76,157,76,149,131,245,155,73,92,68,12,195,136,27,876,179,311,13,5,13,632,200,188,129,3,18,143,136,22,145,123,3,12,26,225,27,11,16,89,163,0,9,15,116,14,39,4,5,28,2,3,104,19,115,62,33,28,561,26,31,66,49,34,6,116,37,58,57,122,187,106,0,1,3,11,165,212,635,60,73,7,73,160,2,39,20,216,179,420,41,72,31,73,394,132,35,37,14,137,56,26,1,608,29,97,173,29,21,33,293,654,3,3,4,33,59,100,81,4,57,65,60,17,38,16,21,23,53,142,174,32,84,237,63,0,62,13,9,31,130,13,16,7,18,30,16,0,40,144,40,186,1,37,262,6,9,6,40,97,15,34,3,44,10,8,13,22,14,39,61,7,65,4,30,21,92,143,37,72,10,19,3,14,9,16,17,519,207,101,531,7,35,118,0,686,136,256,63,63,26,66,2,0,46,25,109,43,9,51,12,5,47,167,21,9,20,10,4,13,10,419,14,1,35,81,32,90,10,4,8,841,38,272,2,4,17,11,31,34,40,25,43,50,44,26
