"","orig.ident","nCount_RNA","nFeature_RNA","cell_id","donor","level","Xenium_id","RNA_snn_res.2.5","seurat_clusters","cell_type","cell_type_manual","large_group"
"Neuron1","pbmc3k",602,53,"13555-11883","N3","L3","output-XETG00171__0018220__Region_1__20240207__003742","5","5","hNP1","hNP1","C.LTMR"
"Neuron2","pbmc3k",2999,73,"13487-11218","N3","L3","output-XETG00171__0018220__Region_1__20240207__003742","0","0","hNP1","hNP1","NP"
"Neuron3","pbmc3k",3633,64,"13555-11018","N3","L3","output-XETG00171__0018220__Region_1__20240207__003742","16","16","hTRPM8","hTRPM8","NP"
"Neuron4","pbmc3k",6706,77,"13452-10809","N3","L3","output-XETG00171__0018220__Region_1__20240207__003742","0","0","hNP1","hNP1","NP"
"Neuron5","pbmc3k",1733,60,"13485-10524","N3","L3","output-XETG00171__0018220__Region_1__20240207__003742","16","16","hTRPM8","hTRPM8","NP"
"Neuron6","pbmc3k",3075,64,"13330-10530","N3","L3","output-XETG00171__0018220__Region_1__20240207__003742","2","2","hPEP.TRPV1/A1.1","hPEP.TRPV1/A1.1","PEP"
"Neuron7","pbmc3k",6578,75,"13183-10682","N3","L3","output-XETG00171__0018220__Region_1__20240207__003742","9","9","hPEP.CHRNA7","hPEP.CHRNA7","PEP"
"Neuron8","pbmc3k",3788,74,"13044-10954","N3","L3","output-XETG00171__0018220__Region_1__20240207__003742","16","16","hTRPM8","hTRPM8","NP"
"Neuron9","pbmc3k",4837,61,"13019-11945","N3","L3","output-XETG00171__0018220__Region_1__20240207__003742","2","2","hPEP.TRPV1/A1.1","hPEP.TRPV1/A1.1","PEP"
"Neuron10","pbmc3k",7137,76,"12852-11772","N3","L3","output-XETG00171__0018220__Region_1__20240207__003742","0","0","hNP1","hNP1","NP"
"Neuron11","pbmc3k",8320,75,"12687-12076","N3","L3","output-XETG00171__0018220__Region_1__20240207__003742","0","0","hNP1","hNP1","NP"
"Neuron12","pbmc3k",4531,72,"13004-12542","N3","L3","output-XETG00171__0018220__Region_1__20240207__003742","1","1","hPEP.TRPV1/A1.2","hPEP.TRPV1/A1.2","PEP"
"Neuron13","pbmc3k",6014,78,"12917-12707","N3","L3","output-XETG00171__0018220__Region_1__20240207__003742","3","3","hSST","hSST","NP"
"Neuron14","pbmc3k",5170,74,"12342-12666","N3","L3","output-XETG00171__0018220__Region_1__20240207__003742","0","0","hNP1","hNP1","NP"
"Neuron15","pbmc3k",5883,72,"14414-11348","N3","L3","output-XETG00171__0018220__Region_1__20240207__003742","0","0","hNP1","hNP1","NP"
"Neuron16","pbmc3k",4831,74,"14215-11217","N3","L3","output-XETG00171__0018220__Region_1__20240207__003742","0","0","hNP1","hNP1","NP"
"Neuron17","pbmc3k",3722,62,"14136-11625","N3","L3","output-XETG00171__0018220__Region_1__20240207__003742","12","12","hPropr","hPropr","NF"
"Neuron18","pbmc3k",1304,64,"14296-10951","N3","L3","output-XETG00171__0018220__Region_1__20240207__003742","3","3","hSST","hSST","NP"
"Neuron19","pbmc3k",506,53,"14430-11046","N3","L3","output-XETG00171__0018220__Region_1__20240207__003742","3","3","hSST","hSST","NP"
"Neuron20","pbmc3k",11116,78,"14586-10803","N3","L3","output-XETG00171__0018220__Region_1__20240207__003742","4","4","hPEP.PIEZOh","hPEP.PIEZOh","PEP"
"Neuron21","pbmc3k",1488,61,"14816-10620","N3","L3","output-XETG00171__0018220__Region_1__20240207__003742","16","16","hTRPM8","hTRPM8","NP"
"Neuron22","pbmc3k",17527,79,"14912-09898","N3","L3","output-XETG00171__0018220__Region_1__20240207__003742","10","10","hPEP.NTRK3","hPEP.NTRK3","PEP"
"Neuron23","pbmc3k",7188,68,"15362-10598","N3","L3","output-XETG00171__0018220__Region_1__20240207__003742","10","10","hPEP.NTRK3","hPEP.NTRK3","PEP"
"Neuron24","pbmc3k",617,59,"15339-10946","N3","L3","output-XETG00171__0018220__Region_1__20240207__003742","15","15","hNP2","hNP2","NP"
"Neuron25","pbmc3k",2156,50,"15492-11221","N3","L3","output-XETG00171__0018220__Region_1__20240207__003742","13","13","hAd.LTMR","hAd.LTMR","NF"
"Neuron26","pbmc3k",6648,70,"15753-11065","N3","L3","output-XETG00171__0018220__Region_1__20240207__003742","10","10","hPEP.NTRK3","hPEP.NTRK3","PEP"
"Neuron27","pbmc3k",6351,64,"16080-11105","N3","L3","output-XETG00171__0018220__Region_1__20240207__003742","6","6","hAd.LTMR","hAd.LTMR","NF"
"Neuron28","pbmc3k",8271,67,"15933-10717","N3","L3","output-XETG00171__0018220__Region_1__20240207__003742","10","10","hPEP.NTRK3","hPEP.NTRK3","PEP"
"Neuron29","pbmc3k",7518,67,"15902-11450","N3","L3","output-XETG00171__0018220__Region_1__20240207__003742","6","6","hAd.LTMR","hAd.LTMR","NF"
"Neuron30","pbmc3k",4358,72,"16049-11805","N3","L3","output-XETG00171__0018220__Region_1__20240207__003742","0","0","hNP1","hNP1","NP"
"Neuron31","pbmc3k",6892,67,"16018-12010","N3","L3","output-XETG00171__0018220__Region_1__20240207__003742","12","12","hPropr","hPropr","NF"
"Neuron32","pbmc3k",12630,72,"15656-12192","N3","L3","output-XETG00171__0018220__Region_1__20240207__003742","10","10","hPEP.NTRK3","hPEP.NTRK3","PEP"
"Neuron33","pbmc3k",7325,73,"15370-12001","N3","L3","output-XETG00171__0018220__Region_1__20240207__003742","9","9","hPEP.CHRNA7","hPEP.CHRNA7","PEP"
"Neuron34","pbmc3k",5622,67,"15247-11655","N3","L3","output-XETG00171__0018220__Region_1__20240207__003742","0","0","hNP1","hNP1","NP"
"Neuron35","pbmc3k",5264,73,"15128-11867","N3","L3","output-XETG00171__0018220__Region_1__20240207__003742","0","0","hNP1","hNP1","NP"
"Neuron36","pbmc3k",5818,70,"15052-12123","N3","L3","output-XETG00171__0018220__Region_1__20240207__003742","0","0","hNP1","hNP1","NP"
"Neuron37","pbmc3k",6790,74,"15295-12555","N3","L3","output-XETG00171__0018220__Region_1__20240207__003742","7","7","hPEP.KIT","hPEP.KIT","PEP"
"Neuron38","pbmc3k",4144,74,"15087-12351","N3","L3","output-XETG00171__0018220__Region_1__20240207__003742","1","1","hPEP.TRPV1/A1.2","hPEP.TRPV1/A1.2","PEP"
"Neuron39","pbmc3k",1249,65,"15319-12314","N3","L3","output-XETG00171__0018220__Region_1__20240207__003742","3","3","hSST","hSST","NP"
"Neuron40","pbmc3k",6917,66,"16287-13316","N3","L3","output-XETG00171__0018220__Region_1__20240207__003742","6","6","hAd.LTMR","hAd.LTMR","NF"
"Neuron41","pbmc3k",5834,74,"15894-13552","N3","L3","output-XETG00171__0018220__Region_1__20240207__003742","0","0","hNP1","hNP1","NP"
"Neuron42","pbmc3k",1719,67,"16060-13668","N3","L3","output-XETG00171__0018220__Region_1__20240207__003742","5","5","hNP1","hNP1","C.LTMR"
"Neuron43","pbmc3k",2666,67,"16185-14054","N3","L3","output-XETG00171__0018220__Region_1__20240207__003742","6","6","hAd.LTMR","hAd.LTMR","NF"
"Neuron44","pbmc3k",558,53,"15951-13866","N3","L3","output-XETG00171__0018220__Region_1__20240207__003742","5","5","hNP1","hNP1","C.LTMR"
"Neuron45","pbmc3k",6331,69,"15952-14234","N3","L3","output-XETG00171__0018220__Region_1__20240207__003742","6","6","hAd.LTMR","hAd.LTMR","NF"
"Neuron46","pbmc3k",11157,76,"15177-13423","N3","L3","output-XETG00171__0018220__Region_1__20240207__003742","0","0","hNP1","hNP1","NP"
"Neuron47","pbmc3k",330,45,"14943-13744","N3","L3","output-XETG00171__0018220__Region_1__20240207__003742","14","14","hPEP.0","hPEP.0","PEP"
"Neuron48","pbmc3k",5355,75,"14814-13944","N3","L3","output-XETG00171__0018220__Region_1__20240207__003742","4","4","hPEP.PIEZOh","hPEP.PIEZOh","PEP"
"Neuron49","pbmc3k",5145,60,"14696-14370","N3","L3","output-XETG00171__0018220__Region_1__20240207__003742","13","13","hAd.LTMR","hAd.LTMR","NF"
"Neuron50","pbmc3k",2861,66,"14577-14487","N3","L3","output-XETG00171__0018220__Region_1__20240207__003742","7","7","hPEP.KIT","hPEP.KIT","PEP"
"Neuron51","pbmc3k",2749,56,"14116-13916","N3","L3","output-XETG00171__0018220__Region_1__20240207__003742","2","2","hPEP.TRPV1/A1.1","hPEP.TRPV1/A1.1","PEP"
"Neuron52","pbmc3k",1008,55,"14280-13915","N3","L3","output-XETG00171__0018220__Region_1__20240207__003742","2","2","hPEP.TRPV1/A1.1","hPEP.TRPV1/A1.1","PEP"
"Neuron53","pbmc3k",1448,60,"14154-13670","N3","L3","output-XETG00171__0018220__Region_1__20240207__003742","1","1","hPEP.TRPV1/A1.2","hPEP.TRPV1/A1.2","PEP"
"Neuron54","pbmc3k",4726,73,"13922-13855","N3","L3","output-XETG00171__0018220__Region_1__20240207__003742","0","0","hNP1","hNP1","NP"
"Neuron55","pbmc3k",4648,65,"13505-13781","N3","L3","output-XETG00171__0018220__Region_1__20240207__003742","3","3","hSST","hSST","NP"
"Neuron56","pbmc3k",2980,68,"13288-13806","N3","L3","output-XETG00171__0018220__Region_1__20240207__003742","0","0","hNP1","hNP1","NP"
