All_cells_staining,All_dissected_cells
87.97992,40.00212
88.03864,35.46538
77.23129,38.54732
66.58422,40.40377
84.04501,41.89192
82.20083,41.85606
53.18065,45.40979
64.30772,67.51257
52.08436,62.95203
50.31827,74.92786
61.62704,62.51377
68.11861,59.57739
53.7925,53.4509
81.35837,57.96484
57.76062,64.24541
67.71284,54.83593
68.55968,61.03606
53.58397,56.7933
59.37806,73.67482
74.00833,89.2896
76.88483,78.26242
77.73146,52.24592
82.17988,62.71126
72.97713,65.9833
56.66175,60.51076
79.64672,49.70747
73.30682,60.20391
63.64813,47.68128
64.69492,51.76252
59.52292,61.40127
79.47353,73.39826
51.41871,70.52684
80.73143,54.88763
71.26962,59.48521
55.7269,59.28604
51.68601,57.98819
62.07261,66.67784
41.39793,90.35256
66.0518,64.00227
61.79451,78.27
85.83955,56.00208
71.6913,75.11765
85.35662,85.76859
77.25359,73.48409
79.93813,56.58105
78.31646,67.15353
76.62677,61.15955
52.34824,63.84246
62.69384,64.09286
53.13204,44.59218
38.68806,47.78584
48.85946,58.8277
63.4177,38.27322
66.07787,40.08459
59.10184,30.57609
48.54116,42.48462
43.54725,50.62798
48.04182,59.63718
42.36438,48.73441
47.66388,60.63858
52.29887,55.17833
46.43755,43.14944
47.11872,57.45635
36.55931,34.95481
65.05334,42.21299
48.0239,43.9833
69.25954,41.25142
42.88966,47.63141
61.29074,43.9366
49.26319,59.04363
58.51609,55.9831
55.77325,44.15214
63.56691,47.60114
82.82706,33.14668
80.53918,40.75498
57.58142,42.51511
62.6801,29.71146
62.23888,29.62361
60.41329,46.78756
76.89604,38.3348
53.09962,37.72682
46.47461,47.32319
59.26191,48.10592
59.04353,34.18809
72.39658,43.92798
73.18924,47.10732
88.17548,32.38636
49.08807,37.50852
58.8975,49.66955
50.82912,38.89512
53.48745,33.61645
34.8714,42.70646
55.77325,44.40928
39.63368,43.35176
55.83498,41.82384
60.95259,37.46307
58.36872,38.08865
52.24945,49.93035
62.95429,39.03525
49.08807,37.91738
59.98412,62.53795
49.90582,41.54861
61.40305,40.35863
48.29213,54.5117
40.34438,50.78133
33.6139,42.69248
43.66574,36.5845
37.44374,46.95314
60.54145,68.79701
56.99515,68.4745
44.27292,52.18486
44.98689,53.5905
62.6801,40.52564
56.08122,49.26278
47.10044,45.19577
32.99329,62.00368
34.67327,42.30543
35.79757,58.40327
44.91025,66.37353
52.38114,48.3082
26.92826,53.05892
41.64681,45.55205
51.43546,62.17805
45.17792,44.0112
47.57346,44.24478
41.31463,54.09972
44.03888,57.85824
58.83897,49.09125
59.01435,52.83799
43.82323,63.40539
49.12314,44.78867
44.03888,59.40569
46.64109,62.15241
39.48129,40.78647
35.55617,43.92392
30.24226,42.47206
51.20052,57.8015
39.91516,54.84674
42.62783,44.79529
24.58786,51.95807
34.29868,45.30966
60.11319,48.1506
64.09309,46.06643
51.08265,40.91128
41.56401,42.77262
47.55536,58.96308
41.21027,52.00336
42.38471,43.76197
41.66749,68.65485
35.1175,79.62424
49.71563,52.02011
46.51167,52.92248
49.80217,59.8828
57.34163,55.65673
44.29237,74.80454
35.16651,40.61749
42.18103,52.12834
29.08091,51.47736
35.55617,46.8165
74.43764,44.91886
55.77325,51.27276
40.40836,45.4608
59.34904,42.51438
54.66594,53.59811
62.94061,54.04315
42.30336,37.03091
52.44686,49.60219
48.47014,52.26082
48.23861,61.03363
48.27429,49.256
45.23507,44.01246
45.15885,48.68778
35.98951,50.29514
45.04429,45.45835
39.21867,68.70317
60.01283,47.46461
44.03888,54.13226
56.64655,60.49544
47.48285,54.77504
60.8819,52.00586
72.78807,47.27597
54.14357,72.27247
45.38713,53.23787
44.98689,41.86625
42.42532,42.38292
62.07261,56.95303
63.1046,53.55139
65.58074,54.61675
73.65841,42.80641
43.48787,41.70031
39.76385,56.23728
47.21002,53.40892
43.24959,54.26737
61.66896,59.24287
42.14018,48.36457
40.87455,61.23559
50.21548,77.71544
38.53193,46.42641
46.91725,46.85767
36.46496,62.33945
48.22075,52.68022
41.89423,63.60798
50.91377,43.89605
57.89465,60.65642
48.39902,51.36849
73.31857,53.48973
37.85548,58.67373
31.14019,48.23984
30.83447,65.43626
42.14018,58.75162
50.6254,54.87451
39.3064,57.48092
56.24988,59.43035
48.92992,40.30699
51.68601,57.67994
63.4177,56.86852
67.00969,56.75646
46.53018,63.52083
64.72154,67.76854
44.13655,49.45597
61.4311,53.17767
46.25172,75.77803
43.07,63.78088
57.32661,48.37576
63.86427,68.41366
83.6856,48.72978
42.36438,57.09197
79.70077,58.08687
57.59638,55.7949
42.18103,50.47527
71.75134,51.44963
81.44301,52.75701
49.42027,38.19859
57.9244,58.09783
46.89888,44.61024
72.24177,51.75805
85.91977,46.13953
79.2239,50.55088
65.0401,48.59896
65.85593,52.612
45.02516,51.12691
72.78807,48.49406
53.80851,66.26766
50.98138,57.58052
50.42086,50.31104
39.13073,58.04302
69.97703,49.00336
43.3689,44.72426
64.72154,54.97882
48.22075,37.76279
50.02647,56.04536
70.07541,48.49406
43.52747,40.40165
55.07401,36.97918
40.68448,66.73674
29.02161,55.90888
50.2669,49.99369
53.31004,47.85978
44.38948,51.05214
56.75288,58.01011
69.18491,47.28434
